2023년 9월 16일,별표 5개 만점에 1개를 받았습니다.,어제까지 사이렌오더로 주문도 했는데.. 갑자기 어플이 열리지 않아요. 에러코드 -0006이라고 계속 뜨길래 삭제후 설치하니 이젠 열리지도 않고 강제종료되요. 다시 지웠다 깔아도 동일한 증상ㅠㅠ 왜그러는건지....... 조치되기 전까진 스벅모바일카드도 사용을 못하게 생겼네요 .
2023년 9월 7일,별표 5개 만점에 1개를 받았습니다.,취소도 안 되는데 앞에 주문이 몇잔 밀렸는지 주문 전 표기가 안 되어서 대기가 많은 걸 모르고 시켰다가 20분 후 갔음에도 차례까지 30잔 넘게 남아서 출근부터 해야 했어요. 회사근처로 시켰기에 일하다말고 다시 나가기라도 했는데 중간에 그러면 완전 낭패에요. 걸리는 시간으로 하면 민원인 많을거 같으니 그건 됐고 결제 전에 해당 매장에 지금 밀린게 몇잔인지 정도는 표시해줬으면 좋겠습니다. 그러면 시간 없어서 그냥 가야 할 경우 주문이라도 안 하죠. 아니면 30잔 이상 밀린 경우엔 주문 후 1분이내 앱에서 취소가능기능이라도 넣어주던가요.
2023년 8월 11일,별표 5개 만점에 1개를 받았습니다.,"처음 사이렌 오더를 사용했는데 차가 막히는 관계로 1시간 이내에 픽업하지 못하여 폐기처분 되었습니다. 저는 해당 매장으로 보관이 가능할지 전화하고 싶었는데 고객센터로 연결되더군요. 그 문구를 결제 하고나서야 봐서 바로 상담사님께 문의전화를 드렸는데 1. 결제 전 문구가 써있었으니 확인 못한 결제자 잘못이고, 2. 바로 환불도 안되고, 3. 매장에 10분만 더 보관해달라는 전화를 하기위한 해당 매장 전화번호 안내도 불가하다는 답변이 돌아왔습니다. 모든 매장이 동일한 지침이기에 결국 아무것도 해줄 수 없다고 합니다. 결제시 1시간 이내에 픽업하지 못할 경우 바로 폐기처분 된다는 결제 전 경고문구팝업을 뜨게 하여 확인 눌러야만 결제가 되도록 추가해주시거나 하는 보완을 해주시면 좋겠습니다. 결제 화면에 떠있는 문구를 확인 못한 제 잘못이라고 하니 할 말이없네요. 돈만 날리게 되어 안타깝습니다."
2023년 5월 24일,별표 5개 만점에 1개를 받았습니다.,"앱을 사용중지해도, 절전 상태로 바꾸어도, 강제 중지를 해도 무슨 리소스를 그렇게 잡아먹고, 앱 충돌이나며, 디바이스를 계속 깨우는지, 무슨 코드를 집어넣어서 핸드폰 정보를 끌고 가시는지 모르겠습니다만, 사익과 마케팅을 위해 운영하는 앱이라해도, 적당히 했으면 좋겠어요, 앱이 배터리충에 리소스충에 좀 더러운 거같아요 앱주문 시스템은 정말 좋은말과 좋은리뷰 쓰고 싶지만 앱이...마음이 아프네요"
2021년 6월 4일,별표 5개 만점에 1개를 받았습니다.,"앱 리뷰 처음 남깁니다.. 몇년동안 스타벅스 어플을 써왔지만 바뀐 앱 디자인/기능보고 너무 실망했습니다. 어플은 직관성, 편리성이 우선시 되어야 합니다. 기존에 앱을 사용하기 편리했던 이유는 이러한 기능이 뛰어났기 때문이라고 생각합니다. 지금 새로 리뉴얼된 앱은 이러한 기능이 너무 떨어집니다. 메뉴 화면을 보면 기존에는 메뉴 구분 화면에서 가로로 커피, 음료, 티, 기타 등을 쉽게 한 줄로 나열해 사용자가 곧바로 원하는 메뉴로 이동할 수 있었는데 지금은 스크롤을 한참 내려야 원하는 메뉴 화면으로 이동할 수 있습니다. 심플하고 직관적인 예전 어플이 훨씬 사용자가 쓰기에 편리합니다.. 제발 다시 고려해주시길 부탁 드립니다..."
2021년 3월 10일,별표 5개 만점에 1개를 받았습니다.,실례지만 최종 승인내신분 연세가..? 어르신 전용 어플도 이것보단 가독성이 낫겠어요. 쓸데없이 글자고 뭐고 다 커서 편의성 제로. 전체 메뉴 상단은 텅텅비고 아래로는 4개짜리 스크롤 실홥니까. 더 웃픈건 이게 그나마 양호하다는거죠. 나만의 메뉴는 섹션구분도 없는데 한 화면에 두개씩 뜸..ㅋ...ㅋㅋㅋ...ㅋㅋㅋㅋㅋ 골고루 저장해뒀다 손가락 열심히 움직이고 갑니다. 충격과 공포의 대환장파티네요
2021년 3월 18일,별표 5개 만점에 1개를 받았습니다.,"바뀌고 나니 불편하네요. 메뉴판도 아니고 이건 메뉴만 잔뜩 보여요. 그렇다고 또 원하는 메뉴를 찾으려면 그건 어려워요. 일목요연했던 링크들이 뿔뿔히 흩어져있고, 사이렌오더 결제도 선택하지 않았는데 화면 넘어가면서 스벅카드로 그냥 결제돼 버리네요. 그렇게 바뀌면서 고급진 느낌이 드는것도 아니고 미적인 느낌도 떨어지네요. 어제 결제가 지 마음대로 되면서 필요없는 음료를 세잔이나 샀어요 에잇!"
2021년 3월 22일,별표 5개 만점에 1개를 받았습니다.,업데이트가 아니라 다운그레이드라고 해야 할 듯해요. 적어도 기존에 잘 쓰던 기능은 남겨두고 개선해야죠. 메뉴 찾기도 어렵고 오더 결제 과정에서 선택사항 체크하는 과정 없이 바로 스타벅스 카드로 결제해버려서 카드할인도 못 받았네요. UX는 고려하신거 맞는지요? 업데이트 한 번 하면 영향 받는 사람이 엄청 많다는 것을 알고 계셨으면 해요.
2019년 1월 27일,별표 5개 만점에 1개를 받았습니다.,"노트 9 자급제 kt통신사 앱 최신, 프로그램도 최신버전이지만 앱 실행 엄청 느립니다. 가족 동일 조건에 sk통신사인데 문제 없습니다. 와이파이 켜야 정상속도 나옵니다. 요금 100gb 무제한 요금제 사용중. 3개월째 이러는데 개선 좀 하시죠 통신, 제품문제 아닙니다. 관련 업무 하고있습니다. 스타벅스 앱만 문제"
2023년 8월 11일,별표 5개 만점에 1개를 받았습니다.,앱이 홈이나 오더 마이메뉴등으로 넘어가지질않습니다 삼성z플립4구요 앱을 제거했다 다시 깔아도(여러번) 전혀 제대로 사용할수가 없습니다!! 어플 열면 충전카드 화면 계속적으로 보여주고 다른곳으로 이동불가 방법을 알려주시면 감사하겠습니다
